ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (g)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,Marques
17928,simple,,,"Anua Azelaic Acid 10 Hyaluronic serum 30ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,279.00,418.50,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-Azelaic-Acid-10-Hyaluronic-serum-30ml.webp,,,,,,,,,0,Anua
17929,simple,,,"Anua Green Lemon Vita c Blemish Serum 20g",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,329.00,493.50,"Corps, Corps > Soin Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-Green-Lemon-Vita-c-Blemish-Serum-20g.webp,,,,,,,,,0,Anua
17930,simple,,,"Anua HeartleaF 70 Intense Calming Cream 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,309.00,463.50,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-HeartleaF-70-Intense-Calming-Cream-50ml.jpeg,,,,,,,,,0,Anua
17931,simple,,,"Anua HeartleaF 77 Clear Pad 160ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,279.00,418.50,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-HeartleaF-77-Clear-Pad-160ml.webp,,,,,,,,,0,Anua
17932,simple,,,"Anua HeartleaF Quercetinol Pore Deep Cleansing Foam 150ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,199,298.50,"Visage > Nettoyants & Démaquillants, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-HeartleaF-Quercetinol-Pore-Deep-Cleansing-Foam-150ml.webp,,,,,,,,,0,Anua
17933,simple,,,"Anua HeartleaF Siky Moisture Sun Cream 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,229.00,343.50,"Solaire > Protection Solaire VIsage, Solaire",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-HeartleaF-Siky-Moisture-Sun-Cream-50ml.webp,,,,,,,,,0,Anua
17934,simple,,,"Anua HeartleaF Succinic Moisture Cleansing Foam 150ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,199.00,298.50,"Visage > Nettoyants & Démaquillants, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-HeartleaF-Succinic-Moisture-Cleansing-Foam-150ml.webp,,,,,,,,,0,Anua
17935,simple,,,"Anua Peach 70 Niacin Serum 30ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,279.00,418.50,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-Peach-70-Niacin-Serum-30ml.webp,,,,,,,,,0,Anua
17936,simple,,,"Anua Peach 77 Niacin Enriched cream 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,309.00,463.50,"Visage > Hydratation Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-Peach-77-Niacin-Enriched-cream-50ml.webp,,,,,,,,,0,Anua
17937,simple,,,"Anua Peach 77 Niacin Essence Toner 250ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,279.00,418.50,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-Peach-77-Niacin-Essence-Toner-250ml.webp,,,,,,,,,0,Anua
17938,simple,,,"Anua Peach 77% Niacin Conditioning Milk 150ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,279.00,418.50,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Anua-Peach-77-Niacin-Conditioning-Milk-150ml.jpg,,,,,,,,,0,Anua
17939,simple,,,"Aposeche Creme Emolliente 250ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,119.00,178.50,"Corps, Corps > Hydratation Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/Aposeche-Creme-Emolliente-250ml.webp,,,,,,,,,0,"Dermo Soins"
17940,simple,,,"Aquareva Creme Legere 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,136.67,205.00,"Visage > Hydratation Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Aquareva-Creme-Legere-40ml.webp,,,,,,,,,0,Noreva
17941,simple,,,"Atoderm Huile de Douche 1L",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,314.75,472.12,"Corps, Corps > Nettoyant Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/Atoderm-Huile-de-Douche-1L.jpg,,,,,,,,,0,Bioderma
17942,simple,,,"Auracos Pro-Collagenium 25ml*14bottles",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,580.00,870.00,"Compléments Alimentaires > Beauté de peau, Compléments Alimentaires",,,https://paralbl.ma/wp-content/uploads/2026/03/Auracos-Pro-Collagenium-25ml14bottles.webp,,,,,,,,,0,Auracos
17943,simple,,,"Av Cicalfate Mains 100ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,145.60,218.40,"Corps, Corps > Soin Corps",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Cicalfate-Mains-100ml.jpg,,,,,,,,,0,Avene
17944,simple,,,"Av Cicalfate+ Creme Reparatrice 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,120.40,180.60,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Acticeutic-Protect-Creme-spf50-40ml.webp,,,,,,,,,0,Avene
17945,simple,,,"Av Cleanance 50+ 50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,207.20,310.80,"Solaire > Protection Solaire VIsage, Solaire",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Cleanance-50-50ml.webp,,,,,,,,,0,"Avene solaire"
17946,simple,,,"Av Cleanance Comedomed 30ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,200.20,300.30,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Cleanance-Comedomed-30ml.webp,,,,,,,,,0,Avene
17947,simple,,,"Av Cleanance Gel Nett Pg 200ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,154.00,231.00,"Visage > Nettoyants & Démaquillants, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Cleanance-Gel-Nett-Pg-200ml.webp,,,,,,,,,0,Avene
17948,simple,,,"Av Cleanance Hydra Creme Apaisante 40ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,154.00,231.00,"Visage > Soin Visage, Visage",,,https://paralbl.ma/wp-content/uploads/2026/03/Av-Cleanance-Hydra-Creme-Apaisante-40ml.png,,,,,,,,,0,Avene
